"pk_rider_id";"rider_full_name";"rider_number";"rider_country_iso";"rider_country_name";"years_old";"birth_date";"birth_city";"profile_picture_url";"portrait_picture_url";"number_picture_url";"helmet_picture_url";"country_flag_url";"load_date";"";"";"";"";""
"fc52565b-9c70-48eb-85f3-c94469ae1382";"A. Huber";"Sin datos";"DE";"Germany";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"16/9/2024 21:41";"";"";"";"";""
"e9b468e7-26df-4b82-b1ff-39cb1b72f2ea";"A.T. Lawton";"Sin datos";"GB";"United Kingdom of Great Britain and Northern Ireland";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"17/9/2024 08:56";"";"";"";"";""
"b588b893-5cc8-4a50-a75b-71ef75d0a0d1";"Aaron Yates";"Sin datos";"US";"United States of America";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"20/9/2024 09:38";"";"";"";"";""
"f76ba4f6-e194-4176-9c5a-27da6001a113";"Adrian Bosshard";"Sin datos";"CH";"Switzerland";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"18/9/2024 21:32";"";"";"";"";""
"53c31d4e-0bff-40a8-911c-02f64707c41e";"Adrien Morillas";"Sin datos";"FR";"France";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"18/9/2024 16:26";"";"";"";"";""
"d8fe2438-98ad-43d1-bc9b-722855019046";"Adu Celso-santos";"Sin datos";"BR";"Brazil";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"17/9/2024 11:59";"";"";"";"";""
"de9fa944-1a9d-4bf6-8b69-5dc515df8a21";"Akira Ryo";"Sin datos";"JP";"Japan";"58";"20/10/1965";"Tokyo";"Sin datos";"https://www.motogp.com/en/api/rider/photo/grid/old/5646";"Sin datos";"Sin datos";"https://photos.motogp.com/countries/flags/iso2/JP.svg";"19/9/2024 08:50";"";"";"";"";""
"c9543645-ee7e-44f8-a87f-bf86e2d7baf8";"Akira Yanagawa";"87";"JP";"Japan";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"19/9/2024 19:15";"";"";"";"";""
"d8dbb0a2-3062-439c-9b62-17b8a60a4912";"Alan Barnett";"Sin datos";"GB";"United Kingdom of Great Britain and Northern Ireland";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"17/9/2024 08:56";"";"";"";"";""
"82a408f3-58f8-4a49-b1d9-b21fd6ab05a5";"Alan Carter";"Sin datos";"GB";"United Kingdom of Great Britain and Northern Ireland";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"18/9/2024 16:26";"";"";"";"";""
"fd2847e1-c51b-4810-80fb-2e2530b307d6";"Alan North";"Sin datos";"ZA";"South Africa";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"17/9/2024 11:59";"";"";"";"";""
"f32e2364-f7b0-4c73-8683-b72424b635e3";"Alan Shepherd";"Sin datos";"GB";"United Kingdom of Great Britain and Northern Ireland";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"16/9/2024 21:41";"";"";"";"";""
"1fe16e1b-d015-489f-ba1c-1037f9c29850";"Alan Trow";"Sin datos";"GB";"United Kingdom of Great Britain and Northern Ireland";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"16/9/2024 21:41";"";"";"";"";""
"dd23ac02-fe18-4b18-9931-3e6b926fa934";"Albergian Louwes";"Sin datos";"NL";"Netherlands";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"17/9/2024 08:56";"";"";"";"";""
"87a16fb5-6aa2-4bf5-86de-681f8cdb31a5";"Alberto Pagani";"Sin datos";"IT";"Italy";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"16/9/2024 22:03";"";"";"";"";""
"b91bc76f-7a60-4b60-b0d1-03d7e1d038bb";"Alberto Puig";"Sin datos";"ES";"Spain";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"18/9/2024 21:32";"";"";"";"";""
"81c6ad83-233b-46f5-abe0-2d7bbe257084";"Alberto Rota";"Sin datos";"IT";"Italy";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"18/9/2024 16:26";"";"";"";"";""
"4cff2dfb-2feb-4264-9a17-8a67189c204c";"Aleix Espargaro";"41";"ES";"Spain";"34";"30/07/1989";"Granollers";"https://photos.motogp.com/riders/a/2/a2f51450-cb43-4d32-8eef-bda9ebb435ed/profile/main/41_Aleix_Espargaro_Official_Rider_DSC9418.png";"https://photos.motogp.com/riders/a/2/a2f51450-cb43-4d32-8eef-bda9ebb435ed/portrait/41_Aleix_Espargaro_Official_Rider_DSC9416_.jpg";"https://photos.motogp.com/riders/1/7/17ee1483-290a-42c7-a581-b382bc2f7faf/number/41.png";"Sin datos";"https://photos.motogp.com/countries/flags/iso2/ES.svg";"19/9/2024 23:27";"";"";"";"";""
"25e36fe7-f98d-4e5f-9022-2fedc894cb2f";"Alessandro Gramigni";"Sin datos";"IT";"Italy";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"19/9/2024 08:50";"";"";"";"";""
"5051a5ec-645c-4cd8-a540-7f61b77e95cc";"Alessandro Valesi";"Sin datos";"IT";"Italy";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"18/9/2024 07:54";"";"";"";"";""
"907569f7-d28b-468a-af4d-ff4c1f1b70ca";"Alex Barros";"Sin datos";"BR";"Brazil";"53";"18/10/1970";"Sao Paulo";"Sin datos";"https://www.motogp.com/en/api/rider/photo/grid/old/67";"Sin datos";"Sin datos";"https://photos.motogp.com/countries/flags/iso2/BR.svg";"18/9/2024 16:26";"";"";"";"";""
"c12dc854-6780-429b-912b-5da38ed24608";"Alex Criville";"Sin datos";"ES";"Spain";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"18/9/2024 21:32";"";"";"";"";""
"dedcd111-d861-4d43-ab8e-791e5e4bf452";"Alex De Angelis";"Sin datos";"SM";"San Marino";"40";"26/02/1984";"Rimini";"https://photos.motogp.com/riders/3/e/3e4d462f-0e97-4124-803a-3aa2e95e8852/profile/main/15-Alex-De-Angelis,-Body_DSC6308.png";"https://photos.motogp.com/riders/5/b/5b830a4c-2667-455f-8e13-0514ddbc1fe6/portrait/15-Alex-De-Angelis.jpg";"https://photos.motogp.com/riders/9/c/9ca04285-2833-4380-a7f6-614f532f3041/number/15.png";"https://photos.motogp.com/riders/9/9/99580495-725d-46e8-b235-09e1ada4879e/helmet/main/15-Alex-De-Angelis.png";"https://photos.motogp.com/countries/flags/iso2/SM.svg";"19/9/2024 23:27";"";"";"";"";""
"df9b4d67-1cc0-45f6-9ef0-8e8b6c8dc5ab";"Alex George";"Sin datos";"GB";"United Kingdom of Great Britain and Northern Ireland";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"17/9/2024 11:59";"";"";"";"";""
"a4daf394-4215-4381-8e4b-7b110ec136ec";"Alex Hofmann";"Sin datos";"DE";"Germany";"43";"25/05/1980";"Mindelheim";"Sin datos";"https://www.motogp.com/en/api/rider/photo/grid/old/2545";"Sin datos";"Sin datos";"https://photos.motogp.com/countries/flags/iso2/DE.svg";"19/9/2024 19:15";"";"";"";"";""
"a1ac0093-78f9-4947-b71c-7a7357f16e1a";"Alex Lowes";"Sin datos";"GB";"United Kingdom of Great Britain and Northern Ireland";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"20/9/2024 12:49";"";"";"";"";""
"e7e4c72e-952e-4f64-8e8a-a47ff590fade";"Alex Marquez";"73";"ES";"Spain";"28";"23/04/1996";"Cervera";"https://photos.motogp.com/riders/4/1/41195f0f-9817-4a4d-913e-c1fbbb351d9b/profile/main/73_Alex_Marquez_Official_Rider_DSC8669.png";"https://photos.motogp.com/riders/4/1/41195f0f-9817-4a4d-913e-c1fbbb351d9b/portrait/73_Alex_Marquez_Official_Rider_DSC8678.jpg";"https://photos.motogp.com/riders/6/d/6d5849a9-5b0d-48f5-ab1d-1245a4e5ecd1/number/73.png";"https://photos.motogp.com/riders/4/1/41195f0f-9817-4a4d-913e-c1fbbb351d9b/helmet/main/73_Alex_Marquez_Helmet_Official_LGZ3591.jpg";"https://photos.motogp.com/countries/flags/iso2/ES.svg";"20/9/2024 12:49";"";"";"";"";""
"56475aa3-f3d1-485a-b6db-ca1149e1b6fa";"Alex Rins";"42";"ES";"Spain";"28";"08/12/1995";"Barcelona";"https://photos.motogp.com/riders/0/4/04bf0ce4-5062-44fc-9745-ec85a8d8f8d3/profile/main/42_Alex_Rins_Official_Rider_DSC8439.png";"https://photos.motogp.com/riders/0/4/04bf0ce4-5062-44fc-9745-ec85a8d8f8d3/portrait/42_Alex_Rins_Official_Rider_DSC8445.jpg";"https://photos.motogp.com/riders/2/e/2e07c7da-11af-4fe9-9e50-7872d69a5570/number/42.png";"https://photos.motogp.com/riders/7/e/7ebc6682-872a-460e-934a-22a1c2c363b8/helmet/main/42_Alex_Rins_Helmet_LGZ0147.jpg";"https://photos.motogp.com/countries/flags/iso2/ES.svg";"20/9/2024 12:49";"";"";"";"";""
"54b2da9e-d5ec-4a43-91b8-83d72af251c9";"Alfons Ammerschlager";"Sin datos";"DE";"Germany";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"18/9/2024 07:54";"";"";"";"";""
"472be2af-fd39-4c07-9686-76e3a4bf6be1";"Alfredo Milani";"Sin datos";"IT";"Italy";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"16/9/2024 21:41";"";"";"";"";""
"79fbbb8f-cc01-4e64-af34-f3f80e71a17e";"Alistair King";"Sin datos";"GB";"United Kingdom of Great Britain and Northern Ireland";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"16/9/2024 21:41";"";"";"";"";""
"f4fa82de-a17d-442a-981b-38ad12f1cad9";"Allan Scott";"Sin datos";"US";"United States of America";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"18/9/2024 21:32";"";"";"";"";""
"3dbed318-875d-4fde-9af3-2afb53d0d812";"Alois Meyer";"Sin datos";"DE";"Germany";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"18/9/2024 16:26";"";"";"";"";""
"cbb253b4-467a-4510-8f24-1a661d9ded1f";"Alvaro Bautista";"19";"ES";"Spain";"39";"21/11/1984";"Talavera de la Reina";"https://photos.motogp.com/riders/4/7/47b6c685-654a-483c-b1ef-09724ac9bc34/profile/main/19_Alvaro_Bautista_DS_1765.jpg";"https://photos.motogp.com/riders/4/7/47b6c685-654a-483c-b1ef-09724ac9bc34/portrait/19_Alvaro_Bautista_DS_1769.png";"Sin datos";"Sin datos";"https://photos.motogp.com/countries/flags/iso2/ES.svg";"19/9/2024 23:27";"";"";"";"";""
"623978f5-a99c-47c2-9b8e-95a1975c90ec";"Anders Anderson";"Sin datos";"SE";"Sweden";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"18/9/2024 07:54";"";"";"";"";""
"a019f0f9-b0f6-4d89-8803-964c0fc82c61";"Andre Luc Appietto";"Sin datos";"FR";"France";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"17/9/2024 08:56";"";"";"";"";""
"34476024-1e54-46f9-a317-39eae8186827";"Andre Pogolotti";"Sin datos";"FR";"France";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"17/9/2024 11:59";"";"";"";"";""
"06989a4b-12bc-4cb5-bad6-bb8dab9097f3";"Andrea Dovizioso";"4";"IT";"Italy";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"19/9/2024 23:27";"";"";"";"";""
"a1850983-97b7-4a7e-8139-8ea68d10c3ab";"Andrea Georgeades";"Sin datos";"CA";"Canada";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"17/9/2024 08:56";"";"";"";"";""
"06b40f46-736c-4228-ae0c-d2d85a07af44";"Andrea Iannone";"29";"IT";"Italy";"34";"09/08/1989";"Vasto";"https://photos.motogp.com/riders/b/2/b2b3e40d-457a-4fa2-b552-752d4dea4f9d/profile/main/29-Andrea-Iannone-_DS03115.png";"https://photos.motogp.com/2019/riders/motogp/grid/original/rider_6848_1554806231.jpg";"https://photos.motogp.com/2019/dorsales/3/6848.png";"Sin datos";"https://photos.motogp.com/countries/flags/iso2/IT.svg";"20/9/2024 09:38";"";"";"";"";""
"50a69dde-da30-40be-a244-97f5b84b938b";"Andreas Hofmann";"Sin datos";"DE";"Germany";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"18/9/2024 07:54";"";"";"";"";""
"d16a370c-f836-4313-9f78-406a9aec661e";"Andreas Meklau";"Sin datos";"AT";"Austria";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"18/9/2024 21:32";"";"";"";"";""
"d6d88269-4917-4933-8218-220101bbb329";"Andrew Pitt";"Sin datos";"AU";"Australia";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"19/9/2024 19:15";"";"";"";"";""
"20f36e92-13fb-442d-98b2-1b342010ce75";"Andrew Stroud";"Sin datos";"NZ";"New Zealand";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"18/9/2024 21:32";"";"";"";"";""
"ba29b4c9-8869-432e-a6af-3a661886bda1";"Andy Leuthe";"Sin datos";"LU";"Luxembourg";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"18/9/2024 07:54";"";"";"";"";""
"7a6795b5-1ed3-49f3-a7ca-cf76e5ca7e97";"Angelo Bergamonti";"Sin datos";"IT";"Italy";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"17/9/2024 08:56";"";"";"";"";""
"3e5cc30d-643a-41fd-af41-bea635ca463f";"Anssi Resko";"Sin datos";"FI";"Finland";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"16/9/2024 22:03";"";"";"";"";""
"8195e17d-3384-4125-85ba-2faede4a6964";"Anthony Gobert";"Sin datos";"AU";"Australia";"0";"01/01/9999";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"19/9/2024 08:50";"";"";"";"";""
"ae5c12b2-4d43-4dba-8b2e-3e214427cbbb";"Anthony West";"Sin datos";"AU";"Australia";"42";"17/07/1981";"Gold Coast";"Sin datos";"https://www.motogp.com/en/api/rider/photo/grid/old/2901";"Sin datos";"Sin datos";"https://photos.motogp.com/countries/flags/iso2/AU.svg";"19/9/2024 19:15";"";"";"";"";""
